candidate_id,pair_id,direction,content_index,style_index,content_label,style_label,content_class,style_class,style_strength,file_name,decision
pair0_airplane_to_bird_05,0,airplane_to_bird,5117,6076,0,1,airplane,bird,0.8,pair0_airplane_to_bird_05.png,accepted
pair0_airplane_to_bird_06,0,airplane_to_bird,7262,6349,0,1,airplane,bird,0.8,pair0_airplane_to_bird_06.png,accepted
pair0_airplane_to_bird_09,0,airplane_to_bird,7150,2157,0,1,airplane,bird,0.8,pair0_airplane_to_bird_09.png,accepted
pair0_airplane_to_bird_10,0,airplane_to_bird,5918,5092,0,1,airplane,bird,0.8,pair0_airplane_to_bird_10.png,accepted
pair0_airplane_to_bird_11,0,airplane_to_bird,1648,7033,0,1,airplane,bird,0.8,pair0_airplane_to_bird_11.png,accepted
pair0_airplane_to_bird_12,0,airplane_to_bird,7309,1109,0,1,airplane,bird,0.8,pair0_airplane_to_bird_12.png,accepted
pair0_airplane_to_bird_13,0,airplane_to_bird,7634,3413,0,1,airplane,bird,0.8,pair0_airplane_to_bird_13.png,accepted
pair0_airplane_to_bird_15,0,airplane_to_bird,4539,2687,0,1,airplane,bird,0.8,pair0_airplane_to_bird_15.png,accepted
pair0_airplane_to_bird_16,0,airplane_to_bird,4785,7202,0,1,airplane,bird,0.8,pair0_airplane_to_bird_16.png,accepted
pair0_airplane_to_bird_17,0,airplane_to_bird,81,1993,0,1,airplane,bird,0.8,pair0_airplane_to_bird_17.png,accepted
pair0_airplane_to_bird_18,0,airplane_to_bird,2024,6169,0,1,airplane,bird,0.8,pair0_airplane_to_bird_18.png,accepted
pair0_airplane_to_bird_19,0,airplane_to_bird,7372,1230,0,1,airplane,bird,0.8,pair0_airplane_to_bird_19.png,accepted
pair0_airplane_to_bird_21,0,airplane_to_bird,3083,1986,0,1,airplane,bird,0.8,pair0_airplane_to_bird_21.png,accepted
pair0_airplane_to_bird_22,0,airplane_to_bird,5999,5488,0,1,airplane,bird,0.8,pair0_airplane_to_bird_22.png,accepted
pair0_airplane_to_bird_23,0,airplane_to_bird,2242,2690,0,1,airplane,bird,0.8,pair0_airplane_to_bird_23.png,accepted
