model,evaluation,condition,accuracy,macro_f1,mean_max_confidence,accuracy_change,prediction_consistency
resnet50,linear_head,clean,0.976,0.9760555313263286,0.8978341221809387,0.0,1.0
resnet50,linear_head,grayscale,0.958,0.9578372320654299,0.9037954807281494,-0.018000000000000016,0.964
resnet50,linear_head,hue_rotation_90,0.928,0.9277713195943347,0.8877472281455994,-0.04799999999999993,0.94
resnet50,linear_head,patch_shuffle_4x4,0.876,0.8768274815554771,0.8711140751838684,-0.09999999999999998,0.9
vit_b_16,linear_head,clean,0.974,0.9738947522603401,0.9589771032333374,0.0,1.0
vit_b_16,linear_head,grayscale,0.954,0.9539238159118547,0.9533783197402954,-0.020000000000000018,0.95
vit_b_16,linear_head,hue_rotation_90,0.944,0.9439851177878428,0.9274760484695435,-0.030000000000000027,0.944
vit_b_16,linear_head,patch_shuffle_4x4,0.906,0.9064037733542143,0.8844180703163147,-0.06799999999999995,0.918
clip_vit_b_32,linear_head,clean,0.984,0.9840160592639411,0.30502304434776306,0.0,1.0
clip_vit_b_32,zero_shot,clean,0.98,0.9798839921143818,0.9547561407089233,0.0,1.0
clip_vit_b_32,linear_head,grayscale,0.962,0.9619481646717304,0.2817092537879944,-0.02200000000000002,0.97
clip_vit_b_32,zero_shot,grayscale,0.97,0.9698000882357014,0.9379802942276001,-0.010000000000000009,0.972
clip_vit_b_32,linear_head,hue_rotation_90,0.96,0.9598487969283586,0.27284687757492065,-0.02400000000000002,0.966
clip_vit_b_32,zero_shot,hue_rotation_90,0.954,0.9534156664535232,0.9273388981819153,-0.026000000000000023,0.962
clip_vit_b_32,linear_head,patch_shuffle_4x4,0.834,0.8333494539525681,0.2146131992340088,-0.15000000000000002,0.842
clip_vit_b_32,zero_shot,patch_shuffle_4x4,0.816,0.8148583688964866,0.8209717273712158,-0.16400000000000003,0.814
