model,intervention,image_identifier,cosine_stability
resnet50,grayscale,632,0.8595777750015259
resnet50,grayscale,131,0.8676074743270874
resnet50,grayscale,7081,0.8080141544342041
resnet50,grayscale,1836,0.7608326077461243
resnet50,grayscale,6437,0.926206648349762
resnet50,grayscale,6609,0.7802611589431763
resnet50,grayscale,3467,0.7031735777854919
resnet50,grayscale,1401,0.8401118516921997
resnet50,grayscale,1839,0.9284840822219849
resnet50,grayscale,4168,0.8386340141296387
resnet50,grayscale,35,0.8080525398254395
resnet50,grayscale,4177,0.7920005321502686
resnet50,grayscale,7270,0.7190297842025757
resnet50,grayscale,2265,0.6790907382965088
resnet50,grayscale,3288,0.7775090336799622
resnet50,grayscale,5451,0.8253713846206665
resnet50,grayscale,4023,0.7267311811447144
resnet50,grayscale,261,0.7741904258728027
resnet50,grayscale,4570,0.8249012231826782
resnet50,grayscale,4966,0.754490852355957
resnet50,grayscale,7955,0.8118926286697388
resnet50,grayscale,6288,0.7932971715927124
resnet50,grayscale,7810,0.8954511284828186
resnet50,grayscale,1927,0.8982591032981873
resnet50,grayscale,1871,0.7761824727058411
resnet50,grayscale,6922,0.8243799805641174
resnet50,grayscale,3512,0.8025969862937927
resnet50,grayscale,4754,0.7392349243164062
resnet50,grayscale,714,0.7898772358894348
resnet50,grayscale,2191,0.7615638971328735
resnet50,grayscale,4615,0.8348956108093262
resnet50,grayscale,4662,0.9119145274162292
resnet50,grayscale,5915,0.6630083918571472
resnet50,grayscale,766,0.6066792011260986
resnet50,grayscale,5218,0.9108383655548096
resnet50,grayscale,2340,0.8824214935302734
resnet50,grayscale,1954,0.7975695133209229
resnet50,grayscale,7875,0.7118935585021973
resnet50,grayscale,3418,0.8326877951622009
resnet50,grayscale,5572,0.8143041729927063
resnet50,grayscale,5977,0.6105345487594604
resnet50,grayscale,5123,0.6934131979942322
resnet50,grayscale,5851,0.938812792301178
resnet50,grayscale,4094,0.777746319770813
resnet50,grayscale,4254,0.7623054385185242
resnet50,grayscale,2501,0.7577536702156067
resnet50,grayscale,6938,0.8116195201873779
resnet50,grayscale,171,0.8238813877105713
resnet50,grayscale,4215,0.5042277574539185
resnet50,grayscale,5705,0.8332515954971313
resnet50,grayscale,3458,0.8338898420333862
resnet50,grayscale,1220,0.6949770450592041
resnet50,grayscale,962,0.7392373085021973
