model,intervention,mean_cosine_stability,std_cosine_stability,number_of_pairs,model_display
resnet50,grayscale,0.7884370684623718,0.09793923795223236,500,ResNet-50
resnet50,patch_shuffle,0.7177631855010986,0.07465530931949615,500,ResNet-50
vit_b_16,grayscale,0.7393350601196289,0.12616732716560364,500,ViT-B/16
vit_b_16,patch_shuffle,0.6533676385879517,0.11028459668159485,500,ViT-B/16
clip_vit_b_32,grayscale,0.8982993960380554,0.0397363156080246,500,CLIP ViT-B/32
clip_vit_b_32,patch_shuffle,0.7289535403251648,0.06417763233184814,500,CLIP ViT-B/32
clip_vit_b_32,translation_32px,0.9699154794216156,0.005948262536605143,500,CLIP ViT-B/32
resnet50,translation_32px,0.9327362924814224,0.009035601611324901,500,ResNet-50
vit_b_16,translation_32px,0.9417605549097061,0.00755744605658941,500,ViT-B/16
resnet50,cue_conflict,0.3543879985809326,0.15874597430229187,200,ResNet-50
vit_b_16,cue_conflict,0.36289969086647034,0.21288782358169556,200,ViT-B/16
clip_vit_b_32,cue_conflict,0.7052158117294312,0.08891309052705765,200,CLIP ViT-B/32
