epoch,train_loss,train_accuracy,val_accuracy
1,1.8073056716918945,0.67925,0.9320000410079956
2,1.0099549107551575,0.96,0.9540000557899475
3,0.6065093882083893,0.97325,0.9610000252723694
4,0.4077719702720642,0.978,0.9620000720024109
5,0.3015928750038147,0.98,0.9630000591278076
6,0.23842364478111266,0.983,0.9660000205039978
7,0.196444717168808,0.98525,0.971000075340271
8,0.1666410644054413,0.987,0.9700000286102295
9,0.14430200159549714,0.9875,0.9690000414848328
10,0.12680066001415252,0.98875,0.9700000286102295
11,0.11300451862812043,0.98975,0.9720000624656677
12,0.10138560336828231,0.991,0.9700000286102295
13,0.09176761680841446,0.99125,0.971000075340271
14,0.08372227543592453,0.992,0.9720000624656677
15,0.07671286004781723,0.99275,0.9720000624656677
16,0.07077081257104874,0.994,0.9720000624656677
