model,evaluation,displacement,accuracy,macro_f1,mean_max_confidence,accuracy_change,prediction_consistency
clip_vit_b_32,linear_head,0,0.984,0.9840160592639411,0.30502304434776306,0.0,1.0
clip_vit_b_32,linear_head,8,0.984,0.9840037741586349,0.30291803926229477,0.0,0.992
clip_vit_b_32,linear_head,16,0.979,0.978963005840635,0.29860784858465195,-0.0050000000000000044,0.986
clip_vit_b_32,linear_head,32,0.9744999999999999,0.9745477465065051,0.2931951656937599,-0.009500000000000008,0.9875
clip_vit_b_32,zero_shot,0,0.98,0.9798839921143818,0.9547561407089233,0.0,1.0
clip_vit_b_32,zero_shot,8,0.978,0.977884115503998,0.9516100138425827,-0.0020000000000000018,0.9864999999999999
clip_vit_b_32,zero_shot,16,0.977,0.9768425624583634,0.9496283978223801,-0.0030000000000000027,0.983
clip_vit_b_32,zero_shot,32,0.9664999999999999,0.9663996673407107,0.9414676874876022,-0.013500000000000012,0.9824999999999999
resnet50,linear_head,0,0.976,0.9760555313263286,0.8978341221809387,0.0,1.0
resnet50,linear_head,8,0.9704999999999999,0.9705327486230015,0.8964775651693344,-0.005500000000000005,0.9924999999999999
resnet50,linear_head,16,0.9684999999999999,0.9685578177284868,0.8934735506772995,-0.007500000000000007,0.991
resnet50,linear_head,32,0.965,0.9651456704773572,0.8875341564416885,-0.01100000000000001,0.9864999999999999
vit_b_16,linear_head,0,0.974,0.9738947522603401,0.9589771032333374,0.0,1.0
vit_b_16,linear_head,8,0.9775,0.9774855637839127,0.9579629749059677,0.003500000000000003,0.982
vit_b_16,linear_head,16,0.9735,0.9734241365158285,0.9572053700685501,-0.0005000000000000004,0.9875
vit_b_16,linear_head,32,0.964,0.963994985660551,0.9515317231416702,-0.010000000000000009,0.976
