model,evaluation,displacement,direction,accuracy,macro_f1,mean_max_confidence,accuracy_change,prediction_consistency
resnet50,linear_head,0,up,0.976,0.9760555313263286,0.8978341221809387,0.0,1.0
resnet50,linear_head,0,down,0.976,0.9760555313263286,0.8978341221809387,0.0,1.0
resnet50,linear_head,0,left,0.976,0.9760555313263286,0.8978341221809387,0.0,1.0
resnet50,linear_head,0,right,0.976,0.9760555313263286,0.8978341221809387,0.0,1.0
resnet50,linear_head,8,up,0.972,0.972069592253343,0.8980271220207214,-0.0040000000000000036,0.994
resnet50,linear_head,8,down,0.97,0.9700692039792216,0.8942069411277771,-0.006000000000000005,0.992
resnet50,linear_head,8,left,0.97,0.969977397739774,0.8977259993553162,-0.006000000000000005,0.99
resnet50,linear_head,8,right,0.97,0.9700148005196677,0.895950198173523,-0.006000000000000005,0.994
resnet50,linear_head,16,up,0.968,0.9680159273659324,0.8998780250549316,-0.008000000000000007,0.992
resnet50,linear_head,16,down,0.972,0.9720501785472667,0.8881241679191589,-0.0040000000000000036,0.994
resnet50,linear_head,16,left,0.966,0.9660567811883229,0.8972236514091492,-0.010000000000000009,0.988
resnet50,linear_head,16,right,0.968,0.9681083838124251,0.8886683583259583,-0.008000000000000007,0.99
resnet50,linear_head,32,up,0.97,0.9700716410176433,0.8918310403823853,-0.006000000000000005,0.99
resnet50,linear_head,32,down,0.964,0.9642822099136683,0.8832761645317078,-0.01200000000000001,0.986
resnet50,linear_head,32,left,0.966,0.9660662464769854,0.8888652920722961,-0.010000000000000009,0.986
resnet50,linear_head,32,right,0.96,0.960162584501132,0.886164128780365,-0.016000000000000014,0.984
vit_b_16,linear_head,0,up,0.974,0.9738947522603401,0.9589771032333374,0.0,1.0
vit_b_16,linear_head,0,down,0.974,0.9738947522603401,0.9589771032333374,0.0,1.0
vit_b_16,linear_head,0,left,0.974,0.9738947522603401,0.9589771032333374,0.0,1.0
vit_b_16,linear_head,0,right,0.974,0.9738947522603401,0.9589771032333374,0.0,1.0
vit_b_16,linear_head,8,up,0.976,0.9759761966592817,0.9572595953941345,0.0020000000000000018,0.98
vit_b_16,linear_head,8,down,0.98,0.979975335071409,0.9592806696891785,0.006000000000000005,0.982
vit_b_16,linear_head,8,left,0.974,0.9739941247054743,0.9577010273933411,0.0,0.98
vit_b_16,linear_head,8,right,0.98,0.979996598699486,0.9576106071472168,0.006000000000000005,0.986
vit_b_16,linear_head,16,up,0.972,0.9719547582609401,0.9583784341812134,-0.0020000000000000018,0.984
vit_b_16,linear_head,16,down,0.982,0.9819583958395839,0.9562843441963196,0.008000000000000007,0.988
vit_b_16,linear_head,16,left,0.972,0.9718702741203934,0.9560927152633667,-0.0020000000000000018,0.99
vit_b_16,linear_head,16,right,0.968,0.9679131178423963,0.9580659866333008,-0.006000000000000005,0.988
vit_b_16,linear_head,32,up,0.964,0.9640887772987824,0.9503026604652405,-0.010000000000000009,0.972
vit_b_16,linear_head,32,down,0.968,0.967968875697346,0.9515553712844849,-0.006000000000000005,0.978
vit_b_16,linear_head,32,left,0.966,0.9659507061732026,0.9499434232711792,-0.008000000000000007,0.976
vit_b_16,linear_head,32,right,0.958,0.957971583472873,0.9543254375457764,-0.016000000000000014,0.978
clip_vit_b_32,linear_head,0,up,0.984,0.9840160592639411,0.30502304434776306,0.0,1.0
clip_vit_b_32,zero_shot,0,up,0.98,0.9798839921143818,0.9547561407089233,0.0,1.0
clip_vit_b_32,linear_head,0,down,0.984,0.9840160592639411,0.30502304434776306,0.0,1.0
clip_vit_b_32,zero_shot,0,down,0.98,0.9798839921143818,0.9547561407089233,0.0,1.0
clip_vit_b_32,linear_head,0,left,0.984,0.9840160592639411,0.30502304434776306,0.0,1.0
clip_vit_b_32,zero_shot,0,left,0.98,0.9798839921143818,0.9547561407089233,0.0,1.0
clip_vit_b_32,linear_head,0,right,0.984,0.9840160592639411,0.30502304434776306,0.0,1.0
clip_vit_b_32,zero_shot,0,right,0.98,0.9798839921143818,0.9547561407089233,0.0,1.0
clip_vit_b_32,linear_head,8,up,0.986,0.986034660643887,0.3026699423789978,0.0020000000000000018,0.99
clip_vit_b_32,zero_shot,8,up,0.978,0.9779608927798907,0.9522466659545898,-0.0020000000000000018,0.988
clip_vit_b_32,linear_head,8,down,0.986,0.9860194019401941,0.30382654070854187,0.0020000000000000018,0.994
clip_vit_b_32,zero_shot,8,down,0.978,0.9779251340182562,0.9506693482398987,-0.0020000000000000018,0.988
clip_vit_b_32,linear_head,8,left,0.98,0.9799655890928459,0.30337658524513245,-0.0040000000000000036,0.992
