model,displacement,mean_cosine_stability,direction_variation
clip_vit_b_32,0,1.0,0.0
clip_vit_b_32,8,0.9810139983892441,0.00021478039721631648
clip_vit_b_32,16,0.9679674357175827,0.003381892566731282
clip_vit_b_32,32,0.9699154794216156,0.005948262536605143
resnet50,0,1.0,0.0
resnet50,8,0.9685215651988983,0.0039064526618430885
resnet50,16,0.9524947702884674,0.007384422797361439
resnet50,32,0.9327362924814224,0.009035601611324901
vit_b_16,0,1.0,0.0
vit_b_16,8,0.94711834192276,0.002760787499009151
vit_b_16,16,0.9743198305368423,0.0018986617191258663
vit_b_16,32,0.9417605549097061,0.00755744605658941
