model,displacement,direction,mean_cosine_stability,std_cosine_stability,number_of_pairs
resnet50,0,up,1.0,1.1989415327207098e-07,500
resnet50,0,down,1.0,1.1989415327207098e-07,500
resnet50,0,left,1.0,1.1989415327207098e-07,500
resnet50,0,right,1.0,1.1989415327207098e-07,500
resnet50,8,up,0.9691991806030273,0.014408466406166553,500
resnet50,8,down,0.9655215740203857,0.018503181636333466,500
resnet50,8,left,0.9737830758094788,0.013924261555075645,500
resnet50,8,right,0.9655824303627014,0.021810825914144516,500
resnet50,16,up,0.9559194445610046,0.023942744359374046,500
resnet50,16,down,0.9493117928504944,0.030254174023866653,500
resnet50,16,left,0.9607911705970764,0.02219073474407196,500
resnet50,16,right,0.9439566731452942,0.03602062538266182,500
resnet50,32,up,0.9380038380622864,0.039045363664627075,500
resnet50,32,down,0.9326770901679993,0.04492480680346489,500
resnet50,32,left,0.9402220249176025,0.03596261888742447,500
resnet50,32,right,0.9200422167778015,0.04529367387294769,500
vit_b_16,0,up,1.0,9.821989976899204e-08,500
vit_b_16,0,down,1.0,9.821989976899204e-08,500
vit_b_16,0,left,1.0,9.821989976899204e-08,500
vit_b_16,0,right,1.0,9.821989976899204e-08,500
vit_b_16,8,up,0.9448003172874451,0.032427333295345306,500
vit_b_16,8,down,0.9447148442268372,0.032004259526729584,500
vit_b_16,8,left,0.9500126838684082,0.0317356139421463,500
vit_b_16,8,right,0.9489455223083496,0.032564904540777206,500
vit_b_16,16,up,0.9744415283203125,0.024608181789517403,500
vit_b_16,16,down,0.9716615080833435,0.030227147042751312,500
vit_b_16,16,left,0.9760960936546326,0.021659182384610176,500
vit_b_16,16,right,0.9750801920890808,0.025074420496821404,500
vit_b_16,32,up,0.9370502829551697,0.05248238891363144,500
vit_b_16,32,down,0.9336162805557251,0.0542435497045517,500
vit_b_16,32,left,0.9478642344474792,0.04032658040523529,500
vit_b_16,32,right,0.9485114216804504,0.04000944271683693,500
clip_vit_b_32,0,up,1.0,1.2007217264908832e-07,500
clip_vit_b_32,0,down,1.0,1.2007217264908832e-07,500
clip_vit_b_32,0,left,1.0,1.2007217264908832e-07,500
clip_vit_b_32,0,right,1.0,1.2007217264908832e-07,500
clip_vit_b_32,8,up,0.9810688495635986,0.01018574833869934,500
clip_vit_b_32,8,down,0.981246829032898,0.00948829110711813,500
clip_vit_b_32,8,left,0.9810112118721008,0.01140094455331564,500
clip_vit_b_32,8,right,0.9807291030883789,0.011495265178382397,500
clip_vit_b_32,16,up,0.9701083898544312,0.014588620513677597,500
clip_vit_b_32,16,down,0.9715887308120728,0.013837341219186783,500
clip_vit_b_32,16,left,0.9651649594306946,0.020536944270133972,500
clip_vit_b_32,16,right,0.9650076627731323,0.020866794511675835,500
clip_vit_b_32,32,up,0.9742709994316101,0.01835448667407036,500
clip_vit_b_32,32,down,0.9758046865463257,0.01583562046289444,500
clip_vit_b_32,32,left,0.96487957239151,0.022219132632017136,500
clip_vit_b_32,32,right,0.9647066593170166,0.021837038919329643,500
