epoch,train_loss,train_accuracy,val_accuracy
1,1.4262831840515138,0.71425,0.940000057220459
2,0.45456370306015015,0.96225,0.9670000672340393
3,0.23179802203178407,0.97325,0.971000075340271
4,0.16064076793193818,0.97775,0.971000075340271
5,0.1267975174188614,0.98175,0.9720000624656677
6,0.10545454561710357,0.985,0.9730000495910645
7,0.09016832876205444,0.98675,0.9750000238418579
8,0.07868415689468383,0.98875,0.9750000238418579
9,0.06933824688196183,0.98975,0.9750000238418579
10,0.0617941527068615,0.992,0.9750000238418579
11,0.05542005065083504,0.993,0.9750000238418579
12,0.049876881390810014,0.99425,0.9760000705718994
13,0.045338532656431195,0.996,0.9780000448226929
14,0.041477715224027635,0.9965,0.9770000576972961
15,0.037873989880084995,0.997,0.9780000448226929
16,0.03491637134552002,0.99775,0.9780000448226929
17,0.03212251308560372,0.99825,0.9780000448226929
18,0.029788418024778367,0.9985,0.9790000319480896
19,0.027653351575136185,0.99875,0.9800000190734863
20,0.025748087897896767,0.99875,0.9800000190734863
21,0.024156001836061477,0.999,0.9790000319480896
22,0.022622122794389726,0.999,0.9800000190734863
23,0.021155956834554672,0.99925,0.9790000319480896
24,0.01988153141736984,0.99925,0.9790000319480896
