epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_domain_loss,training_source_accuracy,mean_grl_strength,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,checkpoint_improved,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.6844777839306073,0.4966471761656113,,0.18783060841771781,0.8247863247863247,0.00826091540020011,0.8492614853500653,0.7995735607675906,0.841894674275569,0.7972675551680678,True,0.9311377245508982,0.9207370117290914,0.8170731707317073,0.8076794559295476,0.7995735607675906,0.7972675551680678
2,0.6326850978737204,0.2604022088388984,,0.3722828895999835,0.9145299145299145,0.024408614937889653,0.9242601281393736,0.8829268292682927,0.9231856553772476,0.8828568643598806,True,0.9580838323353293,0.9490744391203921,0.8829268292682927,0.8828568643598806,0.9317697228144989,0.9376256626514697
3,0.6427220372308013,0.1615630485352256,,0.48115898910750693,0.9455128205128205,0.03930989706175105,0.9167288077129842,0.8731707317073171,0.9139711161170941,0.8716848074981786,False,0.9431137724550899,0.9356408120781526,0.8731707317073171,0.8716848074981786,0.9339019189765458,0.9345877287749512
4,0.6889690547926813,0.14417041205446848,,0.5447986417601252,0.9533475783475783,0.05240070630815471,0.8977620711564546,0.8658536585365854,0.8925201548031924,0.8593949155453232,False,0.9041916167664671,0.8884257478359585,0.8658536585365854,0.8593949155453232,0.9232409381663113,0.9297398010282956
5,0.7025574639312222,0.10465383874036648,,0.5979036254505826,0.9663461538461539,0.0634123711583933,0.924819776433404,0.8829268292682927,0.9236116659127581,0.8806152551393052,True,0.9491017964071856,0.9427952675813708,0.8829268292682927,0.8806152551393052,0.9424307036247335,0.9474244750175985
6,0.7016300727159549,0.09134091359019528,,0.6102891601303704,0.9707977207977208,0.07234125291875587,0.9330566284353651,0.875609756097561,0.9344764708970908,0.8805905739223296,True,0.9640718562874252,0.9580294289051735,0.875609756097561,0.8805905739223296,0.9594882729211087,0.9648094098637694
7,0.7108923843783191,0.06477031167588183,,0.646122071478102,0.9807692307692307,0.07936789006228782,0.9113060062204367,0.8585365853658536,0.9109696769486787,0.8559266290347918,False,0.9670658682634731,0.9634034373655203,0.8585365853658536,0.8559266290347918,0.908315565031983,0.9135789644457242
8,0.7267044994056734,0.08081643393506188,,0.6458880659352001,0.9725783475783476,0.08476826643475231,0.930593553129842,0.8951219512195122,0.9241072372394558,0.8883988930879697,False,0.9520958083832335,0.9412223784113102,0.8951219512195122,0.8883988930879697,0.9445628997867804,0.9427004402190872
9,0.7296575842759548,0.06577895541351578,,0.663878627312489,0.9814814814814815,0.08884368412188089,0.9186472963895912,0.8951219512195122,0.9186631423055819,0.9004569076643619,False,0.9461077844311377,0.9381745963171559,0.8951219512195122,0.9004569076643619,0.9147121535181236,0.9173579229352277
10,0.729635490820958,0.0663452055920745,,0.663290285019793,0.9823717948717948,0.09187699533879438,0.9311829925878131,0.8951219512195122,0.9308422711717735,0.8945264224559261,False,0.9730538922155688,0.9677613353042019,0.8951219512195122,0.8945264224559261,0.9253731343283582,0.9302390557551925
11,0.7158761910903149,0.05295252053721738,,0.662923670732058,0.9852207977207977,0.09411150273145538,0.934366661134022,0.9,0.935145377706295,0.9001439382211467,True,0.9670658682634731,0.9645593559247339,0.9,0.9001439382211467,0.9360341151385928,0.9407328389730046
12,0.735911069262741,0.05111510273831177,,0.6847959654962915,0.9878917378917379,0.09574507992510042,0.9321029375021862,0.9073170731707317,0.9308975364004684,0.9060635820270708,False,0.9550898203592815,0.9509220407309357,0.9073170731707317,0.9060635820270708,0.9339019189765458,0.9357069864433986
13,0.7534212706944882,0.06509970761112248,,0.6883215636779101,0.9809472934472935,0.09693269635923071,0.9171815192227225,0.8634146341463415,0.9160632426034899,0.8646520465947088,False,0.9520958083832335,0.944623257884147,0.8634146341463415,0.8646520465947088,0.9360341151385928,0.938914423331614
14,0.7490316596296098,0.061261474951928324,,0.6877701853075598,0.9882478632478633,0.09779260122972394,0.933027377041642,0.8853658536585366,0.9300759519281813,0.8789992144922216,False,0.9520958083832335,0.9450953886434832,0.8853658536585366,0.8789992144922216,0.9616204690831557,0.966133252648839
15,0.7442419228390751,0.05293728986696735,,0.6913046327411619,0.9855769230769231,0.09841339523684164,0.9047629946825367,0.8658536585365854,0.9059804914892208,0.8724315984409328,False,0.9401197604790419,0.9290379391081894,0.8658536585365854,0.8724315984409328,0.908315565031983,0.9164719369185399
16,0.7906166129132621,0.04776656142662607,,0.7428500514764053,0.9877136752136753,0.09886061611776313,0.9142754275109878,0.875609756097561,0.9147610321053573,0.8745493698655292,False,0.9461077844311377,0.9389766736198223,0.875609756097561,0.8745493698655292,0.9211087420042644,0.9307570528307202
