epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_domain_loss,training_source_accuracy,mean_grl_strength,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,checkpoint_improved,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.4977528211525363,0.46478585595599353,0.32966966201097536,,0.8399216524216524,,0.8556184214855951,0.7926829268292683,0.8474428055387042,0.7791573665889083,True,0.9191616766467066,0.9072707014398075,0.7926829268292683,0.7791573665889083,0.8550106609808102,0.8559003485873969
2,0.25281375379134446,0.22767021905423868,0.2514353511679886,,0.9218304843304843,,0.890620672431205,0.8268292682926829,0.8868312102975092,0.822108642371264,True,0.9431137724550899,0.9345587459005716,0.8268292682926829,0.822108642371264,0.9019189765458422,0.9038262426206919
3,0.16480562700611404,0.14170904031409445,0.2309658675112276,,0.9531695156695157,,0.8991403017460841,0.8536585365853658,0.8983563514367386,0.8514427621652051,True,0.9461077844311377,0.9399897586593815,0.8536585365853658,0.8514427621652051,0.8976545842217484,0.9036365334856294
4,0.14468911801998177,0.12367581363277844,0.21013304005321273,,0.9592236467236467,,0.8886684377357926,0.848780487804878,0.8789647170768657,0.8363624999462906,False,0.9131736526946108,0.8929838312136449,0.848780487804878,0.8363624999462906,0.9040511727078892,0.9075478200706618
5,0.10838351531638804,0.08835152018296386,0.20031995243496364,,0.9693732193732194,,0.9273076085075674,0.8878048780487805,0.9280666029135225,0.8910805531939099,True,0.9580838323353293,0.9510565730507177,0.8878048780487805,0.8910805531939099,0.9360341151385928,0.9420626824959398
6,0.0862594568887009,0.06691712861132916,0.19342327933026177,,0.9779202279202279,,0.933534096713744,0.8902439024390244,0.9343684527757028,0.8950638985961621,True,0.9700598802395209,0.9648121129407865,0.8902439024390244,0.8950638985961621,0.9402985074626866,0.9432293467901598
7,0.08000292662833618,0.06020678295845934,0.19796143535874847,,0.9805911680911681,,0.9388648570039702,0.8951219512195122,0.9339693628092695,0.8890867793576066,False,0.9790419161676647,0.9747702833258657,0.8951219512195122,0.8890867793576066,0.9424307036247335,0.9380510257443359
8,0.06089127910299561,0.04199645076166942,0.18894827977204934,,0.9866452991452992,,0.9338604812321377,0.9048780487804878,0.9332799711229183,0.9036411688980569,False,0.9670658682634731,0.9608024572539644,0.9048780487804878,0.9036411688980569,0.929637526652452,0.9353962872167335
9,0.05558259705575103,0.037174499519982744,0.1840809726307535,,0.9877136752136753,,0.9337237532839048,0.8951219512195122,0.9314060908388488,0.8952932571588448,False,0.9550898203592815,0.9463840319505346,0.8951219512195122,0.8952932571588448,0.9509594882729211,0.9525409834071673
10,0.05097718237954964,0.033742744642701376,0.17234437587933663,,0.9910968660968661,,0.9163541552808886,0.8707317073170732,0.9173020707451842,0.8767424576889545,False,0.9550898203592815,0.9495512635230787,0.8707317073170732,0.8767424576889545,0.9232409381663113,0.9256124910235191
11,0.05324364687180799,0.03467324542072721,0.18570401322128427,,0.9902065527065527,,0.8994028169154437,0.8292682926829268,0.897097806240757,0.8264985337292888,False,0.9520958083832335,0.9415498676228271,0.8292682926829268,0.8264985337292888,0.9168443496801706,0.923245017370155
