epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_domain_loss,training_source_accuracy,mean_grl_strength,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,checkpoint_improved,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.7215004475452961,0.5011745713269099,0.22032587650494698,,0.8354700854700855,,0.8564854377780401,0.8097560975609757,0.8543480748808362,0.8039642494089669,True,0.9281437125748503,0.9218893934385349,0.8097560975609757,0.8039642494089669,0.8315565031982942,0.8371905817950072
2,0.4308113426479519,0.23459198165079978,0.1962193617453942,,0.9293091168091168,,0.923714835657096,0.8731707317073171,0.9210013558105694,0.8682321818583648,True,0.9640718562874252,0.9591837288570112,0.8731707317073171,0.8682321818583648,0.9339019189765458,0.9355881567163321
3,0.34673177399951166,0.16166981268260214,0.1850619611577091,,0.9524572649572649,,0.9324826243295821,0.8853658536585366,0.9293442076384717,0.8776713530160488,True,0.9760479041916168,0.9725334744717424,0.8853658536585366,0.8776713530160488,0.9360341151385928,0.9378277954276237
4,0.2973213516748868,0.12354822321516326,0.1737731287622044,,0.9663461538461539,,0.9221279319773267,0.8829268292682927,0.9198240357242176,0.8811683892558634,False,0.9580838323353293,0.9507870435887027,0.8829268292682927,0.8811683892558634,0.9253731343283582,0.9275166743280865
5,0.2719634260632034,0.10071158160765965,0.17125184413714287,,0.9741809116809117,,0.9263532117210272,0.8682926829268293,0.9268384882189538,0.8719266187833048,False,0.9640718562874252,0.9578751666141981,0.8682926829268293,0.8719266187833048,0.9466950959488273,0.9507136792593583
6,0.2647176517699009,0.09178989860587396,0.17292775353814802,,0.9780982905982906,,0.9273707720032398,0.875609756097561,0.9288482763231406,0.884779967256067,False,0.9640718562874252,0.9566143011917659,0.875609756097561,0.884779967256067,0.9424307036247335,0.9451505605215887
7,0.24523671391682747,0.07881835365715699,0.16641835982982928,,0.9839743589743589,,0.9390010451819851,0.8951219512195122,0.9397854027405872,0.8963366123967311,True,0.9730538922155688,0.9693083966655653,0.8951219512195122,0.8963366123967311,0.9488272921108742,0.9537111991594652
8,0.23833425384428766,0.07327775300965987,0.16505650067940736,,0.9857549857549858,,0.9338018123615477,0.8829268292682927,0.9342158677713474,0.8845764912857403,False,0.9760479041916168,0.9712129072333866,0.8829268292682927,0.8845764912857403,0.9424307036247335,0.9468582047949151
9,0.24072784561122584,0.07295568259114511,0.1677721636927026,,0.9857549857549858,,0.9320735200253195,0.875609756097561,0.9327095813641867,0.8769979767804673,False,0.9760479041916168,0.971349362055042,0.875609756097561,0.8769979767804673,0.9445628997867804,0.9497814052570509
10,0.2324325952710759,0.07476114536412697,0.1576714505497207,,0.9837962962962963,,0.9082143788765493,0.8634146341463415,0.9067013381245895,0.8561904281982385,False,0.9401197604790419,0.9343066584598148,0.8634146341463415,0.8561904281982385,0.9211087420042644,0.9296069277157152
11,0.22524818743013927,0.06194285369024445,0.1633053345557971,,0.9898504273504274,,0.8673120242431566,0.8414634146341463,0.8734980443217991,0.8460269938005637,False,0.9011976047904192,0.898206687008991,0.8414634146341463,0.8460269938005637,0.8592750533049041,0.8762604521558427
12,0.22359293278975365,0.06271463508407275,0.16087829761016062,,0.9886039886039886,,0.9313870049697267,0.8902439024390244,0.929717897824354,0.8897813691804413,False,0.9550898203592815,0.9472357111338584,0.8902439024390244,0.8897813691804413,0.9488272921108742,0.9521366131587622
