epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_domain_loss,training_source_accuracy,mean_grl_strength,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,checkpoint_improved,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.49178928033345276,0.49178928033345276,,,0.8292378917378918,,0.8779981355091055,0.8341463414634146,0.8730119105474695,0.8215858441612506,True,0.9491017964071856,0.9408829017422635,0.8341463414634146,0.8215858441612506,0.8507462686567164,0.8565669857388946
2,0.26506862813272536,0.26506862813272536,,,0.9111467236467237,,0.8903334004932048,0.8268292682926829,0.888381104227839,0.8218652291443249,True,0.9401197604790419,0.9281428576337044,0.8268292682926829,0.8218652291443249,0.9040511727078892,0.9151352259054875
3,0.18123850907133415,0.18123850907133415,,,0.9417735042735043,,0.9183892758453139,0.8853658536585366,0.9175848709836772,0.884218603384844,True,0.9550898203592815,0.9488968995323062,0.8853658536585366,0.884218603384844,0.9147121535181236,0.9196391100338814
4,0.15328873488773456,0.15328873488773456,,,0.9517450142450142,,0.9150200716669527,0.8731707317073171,0.9079847748581424,0.8607301364765532,False,0.9401197604790419,0.9305031908380609,0.8731707317073171,0.8607301364765532,0.9317697228144989,0.9327209972598132
5,0.1298133168179486,0.1298133168179486,,,0.9581552706552706,,0.9314846203375661,0.8853658536585366,0.9302154686470224,0.8814349876749791,True,0.9730538922155688,0.9677694751203865,0.8853658536585366,0.8814349876749791,0.9360341151385928,0.9414419431457018
6,0.09449052839408978,0.09449052839408978,,,0.9709757834757835,,0.9033512256780317,0.848780487804878,0.8994849421437902,0.8441877682414203,False,0.9550898203592815,0.9448838708144363,0.848780487804878,0.8441877682414203,0.906183368869936,0.9093831873755139
7,0.0769820558157687,0.0769820558157687,,,0.9779202279202279,,0.9331933563835978,0.8853658536585366,0.9330887691739395,0.8846096683033913,True,0.9760479041916168,0.9715689766182738,0.8853658536585366,0.8846096683033913,0.9381663113006397,0.9430876626001535
8,0.08883775166887266,0.08883775166887266,,,0.9741809116809117,,0.9355835730899219,0.8951219512195122,0.9331275806346834,0.8942215932032328,True,0.9670658682634731,0.9598658453393795,0.8951219512195122,0.8942215932032328,0.9445628997867804,0.945295303361438
9,0.0700248982305228,0.0700248982305228,,,0.9821937321937322,,0.9269037046817488,0.8951219512195122,0.9263869848789446,0.8963920176858181,False,0.9580838323353293,0.952551276743462,0.8951219512195122,0.8963920176858181,0.9275053304904051,0.9302176602075537
10,0.06222139703500347,0.06222139703500347,,,0.9845085470085471,,0.9187449117574307,0.8902439024390244,0.9193567245784345,0.8873888434845059,False,0.9640718562874252,0.957412830913665,0.8902439024390244,0.8873888434845059,0.9019189765458422,0.9132684993371327
11,0.06532230321341839,0.06532230321341839,,,0.9857549857549858,,0.9219135186385251,0.8536585365853658,0.9194308022976948,0.8515171512145215,False,0.9760479041916168,0.9712610950367127,0.8536585365853658,0.8515171512145215,0.9360341151385928,0.9355141606418506
12,0.06156711785648566,0.06156711785648566,,,0.9853988603988604,,0.9403932578962934,0.9048780487804878,0.9366743407680399,0.8985752686205901,True,0.9610778443113772,0.9549985174394315,0.9048780487804878,0.8985752686205901,0.9552238805970149,0.956449236244098
13,0.035252137399840254,0.035252137399840254,,,0.9887820512820513,,0.9265141566676829,0.8926829268292683,0.9267840997956952,0.892572222644269,False,0.9550898203592815,0.949948466152318,0.8926829268292683,0.892572222644269,0.9317697228144989,0.9378316105904984
14,0.0580087166829062,0.0580087166829062,,,0.9861111111111112,,0.9313238414740543,0.9024390243902439,0.9277445191144388,0.9004016645558045,False,0.9491017964071856,0.9405007008513,0.9024390243902439,0.9004016645558045,0.9424307036247335,0.9423311919362122
15,0.04979794026777837,0.04979794026777837,,,0.9875356125356125,,0.9225318358031455,0.875609756097561,0.9201338935840854,0.8710395895623476,False,0.9580838323353293,0.952498805033881,0.875609756097561,0.8710395895623476,0.9339019189765458,0.9368632861560274
16,0.049875592974010854,0.049875592974010854,,,0.9877136752136753,,0.9364062763235296,0.8804878048780488,0.9356020305183766,0.8810671068232613,False,0.9820359281437125,0.980018203032902,0.8804878048780488,0.8810671068232613,0.9466950959488273,0.9457207816989668
17,0.045455355767529015,0.045455355767529015,,,0.9896723646723646,,0.9321804568096113,0.8853658536585366,0.930284662221348,0.8833863244871171,False,0.9580838323353293,0.9530495711287725,0.8853658536585366,0.8833863244871171,0.9530916844349681,0.9544180910481546
