method,true_class,dominant_incorrect_prediction,number_confused,class_support,confusion_percent
source_only,dog,giraffe,138,772,17.875647668393782
source_only,elephant,dog,233,740,31.486486486486488
source_only,giraffe,dog,51,753,6.772908366533865
source_only,guitar,giraffe,136,608,22.36842105263158
source_only,horse,giraffe,206,816,25.245098039215687
source_only,house,giraffe,36,80,45.0
source_only,person,giraffe,83,160,51.875
dan,dog,person,288,772,37.30569948186528
dan,elephant,person,90,740,12.162162162162161
dan,giraffe,person,225,753,29.8804780876494
dan,guitar,person,134,608,22.039473684210527
dan,horse,person,122,816,14.950980392156863
dan,house,none,0,80,0.0
dan,person,house,40,160,25.0
dann,dog,person,772,772,100.0
dann,elephant,person,740,740,100.0
dann,giraffe,person,747,753,99.20318725099601
dann,guitar,person,608,608,100.0
dann,horse,person,816,816,100.0
dann,house,person,80,80,100.0
dann,person,none,0,160,0.0
cdan,dog,elephant,151,772,19.559585492227978
cdan,elephant,dog,15,740,2.027027027027027
cdan,giraffe,horse,113,753,15.0066401062417
cdan,guitar,elephant,14,608,2.3026315789473686
cdan,horse,elephant,44,816,5.392156862745098
cdan,house,person,1,80,1.25
cdan,person,elephant,1,160,0.625
