method,class_index,class_name,precision,recall,f1,support
source_only,0,dog,0.4948805460750853,0.5634715025906736,0.526953361599031,772
source_only,1,elephant,0.7666098807495741,0.6081081081081081,0.6782215523737755,740
source_only,2,giraffe,0.513430544896393,0.8884462151394422,0.6507782101167315,753
source_only,3,guitar,0.9977678571428571,0.7351973684210527,0.8465909090909091,608
source_only,4,horse,0.7564516129032258,0.5747549019607843,0.6532033426183844,816
source_only,5,house,1.0,0.4875,0.6554621848739496,80
source_only,6,person,0.7169811320754716,0.2375,0.3568075117370892,160
dan,0,dog,0.7105263157894737,0.31476683937823835,0.4362657091561939,772
dan,1,elephant,0.839563862928349,0.7283783783783784,0.7800289435600579,740
dan,2,giraffe,0.7721021611001965,0.5219123505976095,0.6228209191759112,753
dan,3,guitar,1.0,0.6546052631578947,0.7912524850894632,608
dan,4,horse,0.8184764991896273,0.6188725490196079,0.7048150732728542,816
dan,5,house,0.18099547511312217,1.0,0.3065134099616858,80
dan,6,person,0.12257405515832483,0.75,0.21071115013169447,160
dann,0,dog,0.0,0.0,0.0,772
dann,1,elephant,0.0,0.0,0.0,740
dann,2,giraffe,1.0,0.00796812749003984,0.015810276679841896,753
dann,3,guitar,0.0,0.0,0.0,608
dann,4,horse,0.0,0.0,0.0,816
dann,5,house,0.0,0.0,0.0,80
dann,6,person,0.04078511343359674,1.0,0.07837374479549351,160
cdan,0,dog,0.8146718146718147,0.5466321243523317,0.6542635658914728,772
cdan,1,elephant,0.7271784232365145,0.9472972972972973,0.8227699530516432,740
cdan,2,giraffe,0.9476635514018692,0.6733067729083665,0.7872670807453416,753
cdan,3,guitar,0.9895287958115183,0.9325657894736842,0.9602032176121931,608
cdan,4,horse,0.7525879917184265,0.8909313725490197,0.8159371492704826,816
cdan,5,house,0.8777777777777778,0.9875,0.9294117647058824,80
cdan,6,person,0.558303886925795,0.9875,0.7133182844243793,160
