epoch,training_total_loss,training_classification_loss,training_alignment_loss,training_unperturbed_loss,training_source_accuracy,mean_sam_gradient_norm,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.5395258089734448,0.48190304630587244,0.5762276289045302,0.48190304630587244,0.8308404558404558,,0.8915359566373521,0.8881086689466747,0.8317073170731707,0.8272064372149529,0.9431137724550899,0.9318724740563822,0.8317073170731707,0.8272064372149529,0.8997867803837953,0.9052470955686891
2,0.2690707128972579,0.21824449658966982,0.5082621556571406,0.21824449658966982,0.9239672364672367,,0.9211299279853108,0.9168719707610905,0.8829268292682927,0.8783056539614442,0.9550898203592815,0.9492577999360171,0.8829268292682927,0.8783056539614442,0.9253731343283582,0.9230524583858098
3,0.20092634629044268,0.15101642029421627,0.49909925371663183,0.15101642029421627,0.9490740740740744,,0.9149378916513013,0.916190129049835,0.8878048780487805,0.8872233213703661,0.9550898203592815,0.9519780520772976,0.8878048780487805,0.8872233213703661,0.9019189765458422,0.9093690137018414
4,0.16629605554044247,0.11666647747853516,0.4962957743396107,0.11666647747853516,0.9606481481481486,,0.9248151157251776,0.922688703727407,0.875609756097561,0.8758332907847676,0.9670658682634731,0.9608691181037458,0.875609756097561,0.8758332907847676,0.9317697228144989,0.9313637022937077
5,0.13892786757240438,0.09077674728165516,0.4815111870949085,0.09077674728165516,0.9720441595441603,,0.9287290726155989,0.9269428522323712,0.8878048780487805,0.8865980319667377,0.9580838323353293,0.9489025188517288,0.8878048780487805,0.8865980319667377,0.9402985074626866,0.945328005878647
6,0.10043173788799944,0.0537190027644412,0.4671273445471739,0.0537190027644412,0.9830840455840465,,0.9324729292260555,0.9322295551549798,0.9024390243902439,0.903465106071119,0.9610778443113772,0.9558127331040628,0.9024390243902439,0.903465106071119,0.9339019189765458,0.9374108262897577
7,0.10074715123663092,0.05467392933857428,0.46073221256080854,0.05467392933857428,0.9830840455840464,,0.9380714051640856,0.937113261504679,0.9,0.8988005610383499,0.9760479041916168,0.9705907320193035,0.9,0.8988005610383499,0.9381663113006397,0.9419484914563838
8,0.08767913458630061,0.04072728626177304,0.46951847415194553,0.04072728626177304,0.9886039886039891,,0.9393905931960512,0.9383900373873434,0.8975609756097561,0.8975864870928998,0.9760479041916168,0.9720858391665844,0.8975609756097561,0.8975864870928998,0.9445628997867804,0.9454977859025459
9,0.07943143869917361,0.03204746989798971,0.47383968111796254,0.03204746989798971,0.9909188034188036,,0.9425254540583402,0.9420395853626277,0.9048780487804878,0.9077261431462734,0.9610778443113772,0.9526577768462969,0.9048780487804878,0.9077261431462734,0.9616204690831557,0.965734836095313
10,0.07402988251012105,0.02816302725014428,0.4586685448884964,0.02816302725014428,0.992343304843305,,0.9340501378022985,0.9306714875158555,0.9097560975609756,0.9021860816133636,0.9520958083832335,0.9441728688612533,0.9097560975609756,0.9021860816133636,0.9402985074626866,0.9456555120729495
11,0.06486822304944707,0.01924083216621294,0.45627390147529095,0.01924083216621294,0.995726495726496,,0.9467415784687322,0.945655248047225,0.9170731707317074,0.9166780258473441,0.9700598802395209,0.965737629109334,0.9170731707317074,0.9166780258473441,0.9530916844349681,0.9545500891849968
12,0.06699305500548619,0.020971402568686914,0.460216517186063,0.020971402568686914,0.9943019943019947,,0.9353594646475939,0.9348810097685606,0.8829268292682927,0.8837793755345332,0.9700598802395209,0.9640035618509198,0.8829268292682927,0.8837793755345332,0.9530916844349681,0.9568600919202288
13,0.06425671878024045,0.019064831520076524,0.45191886600775594,0.019064831520076524,0.9960826210826212,,0.9472282020804198,0.9485386903304263,0.9048780487804878,0.9087739996031188,0.9730538922155688,0.969415311008035,0.9048780487804878,0.9087739996031188,0.9637526652452025,0.967426760380125
14,0.06970434092208107,0.02336061448774213,0.4634372546759426,0.02336061448774213,0.9937678062678066,,0.9470288504067325,0.9470824183018607,0.9170731707317074,0.9177562400641996,0.9730538922155688,0.9690927712365187,0.9170731707317074,0.9177562400641996,0.9509594882729211,0.9543982436048636
15,0.06228259979532315,0.017634049118158177,0.4464854986494423,0.017634049118158177,0.9967948717948718,,0.9443657175741605,0.9433102255695612,0.8975609756097561,0.8938725187983987,0.9760479041916168,0.9724972148950239,0.8975609756097561,0.8938725187983987,0.9594882729211087,0.9635609430152611
16,0.06568868572895344,0.019225570488657452,0.46463114462601834,0.019225570488657452,0.9955484330484332,,0.9382075933421005,0.9372163909584469,0.9,0.8976435634077813,0.9700598802395209,0.9647777083062448,0.9,0.8976435634077813,0.9445628997867804,0.949227901161315
17,0.05963422989265786,0.014456668377129568,0.45177560872756517,0.014456668377129568,0.9973290598290601,,0.9285584325654167,0.9251634949331864,0.8804878048780488,0.8782571553587328,0.9520958083832335,0.9442686789230965,0.8804878048780488,0.8782571553587328,0.9530916844349681,0.9529646505177298
18,0.06055122522366607,0.015219730072312502,0.45331494459229654,0.015219730072312502,0.9967948717948721,,0.9364304933219524,0.9358873058265088,0.8951219512195122,0.8974283980908131,0.9610778443113772,0.9557849588303854,0.8951219512195122,0.8974283980908131,0.9530916844349681,0.9544485605583279
