method,class_name,precision,recall,f1_score,support
erm,dog,0.4948805460750853,0.5634715025906736,0.526953361599031,772
erm,elephant,0.7666098807495741,0.6081081081081081,0.6782215523737755,740
erm,giraffe,0.513430544896393,0.8884462151394422,0.6507782101167315,753
erm,guitar,0.9977678571428571,0.7351973684210527,0.8465909090909091,608
erm,horse,0.7564516129032258,0.5747549019607843,0.6532033426183844,816
erm,house,1.0,0.4875,0.6554621848739496,80
erm,person,0.7169811320754716,0.2375,0.3568075117370892,160
dan_dg,dog,0.0,0.0,0.0,772
dan_dg,elephant,0.0,0.0,0.0,740
dan_dg,giraffe,0.0,0.0,0.0,753
dan_dg,guitar,0.0,0.0,0.0,608
dan_dg,horse,0.0,0.0,0.0,816
dan_dg,house,0.0,0.0,0.0,80
dan_dg,person,0.04072283023670145,1.0,0.07825874296894106,160
sam,dog,0.3829787234042553,0.7694300518134715,0.5114076625053809,772
sam,elephant,0.8871595330739299,0.3081081081081081,0.4573721163490471,740
sam,giraffe,0.6414201183431952,0.7197875166002656,0.6783479349186483,753
sam,guitar,0.9833641404805915,0.875,0.9260226283724978,608
sam,horse,0.7873417721518987,0.38112745098039214,0.5136251032204789,816
sam,house,0.9827586206896551,0.7125,0.8260869565217391,80
sam,person,0.3900709219858156,0.6875,0.497737556561086,160
dan_dg_lambda_0p1,dog,0.5552208835341366,0.716321243523316,0.6255656108597285,772
dan_dg_lambda_0p1,elephant,0.7236180904522613,0.7783783783783784,0.75,740
dan_dg_lambda_0p1,giraffe,0.8810572687224669,0.5312084993359893,0.6628003314001657,753
dan_dg_lambda_0p1,guitar,0.9548611111111112,0.9046052631578947,0.9290540540540541,608
dan_dg_lambda_0p1,horse,0.7740585774058577,0.6801470588235294,0.7240704500978473,816
dan_dg_lambda_0p1,house,1.0,0.7,0.8235294117647058,80
dan_dg_lambda_0p1,person,0.3532934131736527,0.7375,0.4777327935222672,160
dan_dg_lambda_10p0,dog,0.0,0.0,0.0,772
dan_dg_lambda_10p0,elephant,0.0,0.0,0.0,740
dan_dg_lambda_10p0,giraffe,0.0,0.0,0.0,753
dan_dg_lambda_10p0,guitar,0.0,0.0,0.0,608
dan_dg_lambda_10p0,horse,0.0,0.0,0.0,816
dan_dg_lambda_10p0,house,0.0,0.0,0.0,80
dan_dg_lambda_10p0,person,0.04072283023670145,1.0,0.07825874296894106,160
