epoch,learning_rate,training_loss,training_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.1,2.042311062558492,0.25993333333333335,1.6551106935501099,0.376,0.31812219665321784
2,0.09997532801828658,1.5129348289701674,0.44326666666666664,1.4225437469482423,0.5022,0.48891587083666377
3,0.09990133642141358,1.2002342049704657,0.5728,1.3515272691726685,0.556,0.5403829467859926
4,0.099778098230154,1.0147494507365757,0.6409111111111111,0.8061024980545044,0.7194,0.7151318766454215
5,0.0996057350657239,0.878803124639723,0.6931111111111111,0.9320550880432129,0.6822,0.677619713224803
6,0.09938441702975688,0.7938842276467217,0.7245777777777778,0.9132676012039185,0.6872,0.7032671284722211
7,0.09911436253643444,0.7303493571599324,0.7474222222222222,0.7026648293495178,0.7568,0.7574254617727718
8,0.09879583809693737,0.688764615726471,0.7623333333333333,0.7075911227226257,0.7684,0.7651355203198995
9,0.09842915805643156,0.6645729500558641,0.7699555555555555,0.8275028154015541,0.7374,0.7219353878416828
10,0.09801468428384716,0.6338782807244195,0.7807333333333333,0.6814041997909546,0.7756,0.7828976867230119
11,0.09755282581475769,0.6233620354122585,0.7856,0.5582689197540284,0.8052,0.8047505985669023
12,0.09704403844771128,0.6033147845586141,0.7925555555555556,0.6101330525398254,0.7924,0.7939901280169295
13,0.09648882429441258,0.5811439469443427,0.8003777777777777,0.5959217552185059,0.8052,0.8063199571864151
14,0.09588773128419906,0.5720272618187798,0.8046444444444445,0.5462282508850098,0.8216,0.8230577244038138
15,0.09524135262330098,0.5590983951303694,0.8058222222222222,0.7616133985519409,0.761,0.7639558952348688
16,0.0945503262094184,0.5469471053971184,0.8135555555555556,0.6104686605453491,0.8002,0.8026706979744913
17,0.09381533400219319,0.5420279932234022,0.8143333333333334,0.4258586390972137,0.8566,0.8573643255299747
18,0.0930371013501972,0.5287011470794678,0.8172666666666667,0.6329147129058837,0.7996,0.8016866326258905
19,0.09221639627510078,0.5190569191084967,0.8217333333333333,0.5543061373472213,0.821,0.8196963885548263
20,0.09135402871372812,0.510912452061971,0.8267555555555556,0.7365863706588746,0.773,0.7820004041672364
21,0.09045084971874741,0.4994652356783549,0.8279777777777778,0.5081421765327454,0.8324,0.833611138264373
22,0.08950775061878455,0.49940391074286566,0.8278666666666666,0.4519259565830231,0.8454,0.8453163036285266
23,0.0885256621387895,0.4819159836239285,0.8353555555555555,0.5205253668069839,0.8274,0.8280715870381107
24,0.08750555348152302,0.494079730992847,0.8311333333333333,0.4674970906019211,0.8508,0.8497193801462064
25,0.08644843137107061,0.4703924481232961,0.8383111111111111,0.4465534929990768,0.8462,0.8488634401862212
26,0.0853553390593274,0.4755370034853617,0.8367555555555556,0.4225816356897354,0.854,0.8515605147603182
