model,score,group,unknown_class,number_of_samples,rejection_rate,acceptance_rate,most_common_known_prediction,most_common_prediction_count
vanilla,mls,near,bus,100,0.18,0.8200000000000001,truck,76
vanilla,mls,near,camel,100,0.43,0.5700000000000001,horse,28
vanilla,mls,near,fox,100,0.37,0.63,cat,34
vanilla,mls,near,leopard,100,0.25,0.75,cat,40
vanilla,mls,near,motorcycle,100,0.64,0.36,truck,29
vanilla,mls,near,pickup_truck,100,0.11,0.89,automobile,65
vanilla,mls,near,tractor,100,0.43,0.5700000000000001,truck,73
vanilla,mls,near,wolf,100,0.14,0.86,cat,48
vanilla,mls,far,bottle,100,0.6,0.4,cat,25
vanilla,mls,far,bowl,100,0.62,0.38,cat,31
vanilla,mls,far,chair,100,0.58,0.42000000000000004,airplane,51
vanilla,mls,far,clock,100,0.59,0.41000000000000003,cat,24
vanilla,mls,far,keyboard,100,0.62,0.38,airplane,24
vanilla,mls,far,mushroom,100,0.48,0.52,bird,37
vanilla,mls,far,sunflower,100,0.55,0.44999999999999996,bird,42
vanilla,mls,far,wardrobe,100,0.28,0.72,truck,52
gcsc,mls,near,bus,100,0.23,0.77,truck,76
gcsc,mls,near,camel,100,0.41,0.5900000000000001,horse,25
gcsc,mls,near,fox,100,0.24,0.76,cat,42
gcsc,mls,near,leopard,100,0.37,0.63,cat,51
gcsc,mls,near,motorcycle,100,0.77,0.22999999999999998,automobile,32
gcsc,mls,near,pickup_truck,100,0.12,0.88,automobile,63
gcsc,mls,near,tractor,100,0.54,0.45999999999999996,truck,67
gcsc,mls,near,wolf,100,0.21,0.79,cat,53
gcsc,mls,far,bottle,100,0.83,0.17000000000000004,cat,35
gcsc,mls,far,bowl,100,0.53,0.47,cat,33
gcsc,mls,far,chair,100,0.66,0.33999999999999997,cat,29
gcsc,mls,far,clock,100,0.5,0.5,cat,37
gcsc,mls,far,keyboard,100,0.65,0.35,cat,33
gcsc,mls,far,mushroom,100,0.5,0.5,bird,36
gcsc,mls,far,sunflower,100,0.79,0.20999999999999996,dog,30
gcsc,mls,far,wardrobe,100,0.33,0.6699999999999999,cat,57
proser,mls,near,bus,100,0.18,0.8200000000000001,truck,78
proser,mls,near,camel,100,0.53,0.47,horse,25
proser,mls,near,fox,100,0.31,0.69,cat,33
proser,mls,near,leopard,100,0.29,0.71,cat,46
proser,mls,near,motorcycle,100,0.66,0.33999999999999997,automobile,30
proser,mls,near,pickup_truck,100,0.07,0.9299999999999999,automobile,70
proser,mls,near,tractor,100,0.38,0.62,truck,75
proser,mls,near,wolf,100,0.17,0.83,cat,46
proser,mls,far,bottle,100,0.56,0.43999999999999995,cat,30
proser,mls,far,bowl,100,0.53,0.47,cat,36
proser,mls,far,chair,100,0.52,0.48,airplane,52
proser,mls,far,clock,100,0.55,0.44999999999999996,cat,30
proser,mls,far,keyboard,100,0.57,0.43000000000000005,airplane,30
proser,mls,far,mushroom,100,0.47,0.53,bird,31
proser,mls,far,sunflower,100,0.51,0.49,bird,37
proser,mls,far,wardrobe,100,0.27,0.73,cat,61
proser,placeholder,near,bus,100,0.22,0.78,truck,78
proser,placeholder,near,camel,100,0.45,0.55,horse,25
proser,placeholder,near,fox,100,0.32,0.6799999999999999,cat,33
proser,placeholder,near,leopard,100,0.3,0.7,cat,46
proser,placeholder,near,motorcycle,100,0.66,0.33999999999999997,automobile,30
proser,placeholder,near,pickup_truck,100,0.07,0.9299999999999999,automobile,70
proser,placeholder,near,tractor,100,0.38,0.62,truck,75
proser,placeholder,near,wolf,100,0.14,0.86,cat,46
proser,placeholder,far,bottle,100,0.54,0.45999999999999996,cat,30
proser,placeholder,far,bowl,100,0.54,0.45999999999999996,cat,36
proser,placeholder,far,chair,100,0.5,0.5,airplane,52
proser,placeholder,far,clock,100,0.56,0.43999999999999995,cat,30
proser,placeholder,far,keyboard,100,0.55,0.44999999999999996,airplane,30
proser,placeholder,far,mushroom,100,0.42,0.5800000000000001,bird,31
proser,placeholder,far,sunflower,100,0.49,0.51,bird,37
proser,placeholder,far,wardrobe,100,0.28,0.72,cat,61
