group,dataset_index,unknown_class,predicted_known_index,predicted_known_class,mls_score,threshold
far,5260,sunflower,2,bird,-11.358866691589355,-5.903560161590576
far,2915,wardrobe,9,truck,-11.1066255569458,-5.903560161590576
far,6673,clock,3,cat,-11.061924934387207,-5.903560161590576
far,7443,bottle,3,cat,-10.973387718200684,-5.903560161590576
far,8236,wardrobe,9,truck,-10.898965835571289,-5.903560161590576
far,5940,keyboard,3,cat,-10.757271766662598,-5.903560161590576
far,976,sunflower,9,truck,-10.73842716217041,-5.903560161590576
far,6233,chair,0,airplane,-10.647624969482422,-5.903560161590576
far,6390,wardrobe,9,truck,-10.610771179199219,-5.903560161590576
far,8701,mushroom,5,dog,-10.463434219360352,-5.903560161590576
far,3968,mushroom,6,frog,-10.457112312316895,-5.903560161590576
far,5096,chair,0,airplane,-10.416486740112305,-5.903560161590576
far,1820,mushroom,6,frog,-10.364307403564453,-5.903560161590576
far,3924,wardrobe,9,truck,-10.25284194946289,-5.903560161590576
far,3247,keyboard,9,truck,-10.232726097106934,-5.903560161590576
far,4847,chair,2,bird,-10.215855598449707,-5.903560161590576
far,3586,keyboard,3,cat,-10.175116539001465,-5.903560161590576
far,7171,wardrobe,9,truck,-10.068839073181152,-5.903560161590576
far,8505,mushroom,2,bird,-10.048728942871094,-5.903560161590576
far,714,sunflower,2,bird,-9.95569896697998,-5.903560161590576
far,1196,mushroom,6,frog,-9.839118957519531,-5.903560161590576
far,1138,mushroom,2,bird,-9.782361030578613,-5.903560161590576
far,5219,mushroom,3,cat,-9.754868507385254,-5.903560161590576
far,4208,wardrobe,9,truck,-9.7177734375,-5.903560161590576
far,3888,bottle,3,cat,-9.68264102935791,-5.903560161590576
far,5690,clock,0,airplane,-9.646659851074219,-5.903560161590576
far,5683,chair,0,airplane,-9.62005615234375,-5.903560161590576
far,77,bowl,9,truck,-9.559024810791016,-5.903560161590576
far,9193,mushroom,3,cat,-9.497665405273438,-5.903560161590576
far,8475,sunflower,2,bird,-9.488909721374512,-5.903560161590576
far,9600,chair,0,airplane,-9.476795196533203,-5.903560161590576
far,9847,mushroom,2,bird,-9.458871841430664,-5.903560161590576
far,8369,keyboard,9,truck,-9.427631378173828,-5.903560161590576
