group,unknown_class,predicted_known_class,number_accepted
far,wardrobe,truck,40
far,wardrobe,cat,32
far,chair,airplane,29
far,sunflower,bird,26
far,mushroom,bird,25
far,keyboard,airplane,14
far,bottle,ship,13
far,bowl,cat,13
far,mushroom,frog,12
far,bottle,cat,11
far,clock,cat,11
far,clock,automobile,10
far,keyboard,cat,10
far,clock,truck,9
far,keyboard,truck,9
far,bottle,truck,8
far,bowl,ship,7
far,mushroom,cat,7
far,bowl,frog,6
far,chair,bird,6
far,sunflower,dog,6
far,clock,airplane,5
far,sunflower,frog,5
far,bowl,automobile,4
far,chair,cat,4
far,mushroom,dog,4
far,sunflower,cat,4
far,bottle,bird,3
far,bowl,airplane,3
far,bowl,dog,3
far,chair,truck,3
far,clock,bird,3
far,bottle,automobile,2
far,bottle,frog,2
far,keyboard,frog,2
far,keyboard,horse,2
far,mushroom,airplane,2
far,mushroom,deer,2
far,sunflower,truck,2
far,bottle,dog,1
far,bowl,deer,1
far,bowl,truck,1
far,clock,dog,1
far,clock,frog,1
far,clock,ship,1
far,keyboard,bird,1
far,sunflower,airplane,1
far,sunflower,deer,1
near,bus,truck,67
near,pickup_truck,automobile,61
near,tractor,truck,49
near,wolf,cat,42
near,wolf,dog,37
near,leopard,cat,33
near,leopard,frog,28
near,pickup_truck,truck,27
near,fox,cat,24
near,fox,deer,20
near,camel,horse,16
near,fox,dog,15
near,camel,dog,14
near,motorcycle,truck,14
near,bus,automobile,13
near,camel,deer,13
near,motorcycle,automobile,10
near,camel,bird,9
near,leopard,deer,7
near,motorcycle,airplane,5
near,tractor,ship,5
near,leopard,dog,4
near,motorcycle,cat,4
near,leopard,bird,3
near,wolf,deer,3
near,bus,airplane,2
near,camel,airplane,2
near,fox,bird,2
near,wolf,horse,2
near,camel,cat,1
near,camel,frog,1
near,camel,truck,1
near,fox,airplane,1
near,fox,horse,1
near,motorcycle,dog,1
near,motorcycle,frog,1
near,motorcycle,horse,1
near,pickup_truck,airplane,1
near,tractor,airplane,1
near,tractor,automobile,1
near,tractor,horse,1
near,wolf,bird,1
near,wolf,frog,1
