epoch,learning_rate,training_loss,training_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.1,1.9479187411838108,0.29315555555555556,1.6379613079071045,0.391,0.37176884733903753
2,0.09997532801828658,1.4127438041687013,0.483,1.4225120727539062,0.4862,0.46809145370793875
3,0.09990133642141358,1.1434072206921047,0.5895777777777778,1.3890808807373047,0.5324,0.5243901129319889
4,0.099778098230154,0.9414889411078559,0.6640666666666667,0.8280420402526856,0.7116,0.7064421822323277
5,0.0996057350657239,0.7994527800136142,0.7214,0.9054986486434936,0.686,0.6886241545674301
6,0.09938441702975688,0.688521120622423,0.7617111111111111,0.9482125938415528,0.6914,0.6991474183232125
7,0.09911436253643444,0.6182187696668837,0.7859777777777778,1.2825907752990722,0.6244,0.6320346342935144
8,0.09879583809693737,0.5652803913328383,0.8053111111111111,0.7261545188426971,0.7606,0.7651824890660914
9,0.09842915805643156,0.5353365503470103,0.8156222222222222,0.6333802944302559,0.791,0.7838945516675023
10,0.09801468428384716,0.5013679940541586,0.8281555555555555,0.5830700374603272,0.8028,0.8004465506791683
11,0.09755282581475769,0.4833069065411886,0.8345111111111111,0.6419284177064896,0.7886,0.7892260680337844
12,0.09704403844771128,0.45870218215518527,0.8425777777777778,0.9324057494163513,0.7236,0.7292042753375785
13,0.09648882429441258,0.45131562294430205,0.8450888888888889,0.5481117866039276,0.822,0.8237124698297948
14,0.09588773128419906,0.4294508689986335,0.8535333333333334,0.732991743350029,0.7736,0.764757881704736
15,0.09524135262330098,0.4270561361312866,0.8532,0.8764440671920777,0.7396,0.7487963635377884
16,0.0945503262094184,0.4105159497261047,0.8593111111111111,0.5964703536033631,0.8024,0.8013340942827373
17,0.09381533400219319,0.3974666192849477,0.8628444444444444,0.5023935233831406,0.8236,0.8216471927070751
18,0.0930371013501972,0.3937288497500949,0.8650888888888889,0.5471461182117462,0.8232,0.8257377975068568
19,0.09221639627510078,0.38477285726335314,0.8675777777777778,0.6985733377218246,0.7716,0.7752884845758939
20,0.09135402871372812,0.37693405356407167,0.8725333333333334,0.6561054206848145,0.7934,0.7902693490517776
21,0.09045084971874741,0.36398625172509086,0.8765333333333334,0.566595656824112,0.817,0.8167153208306323
22,0.08950775061878455,0.35512419704331294,0.8801777777777777,0.4519525195837021,0.8462,0.847327346670989
23,0.0885256621387895,0.3514646896309323,0.8788222222222222,0.49120652713775637,0.8388,0.8361550625435887
24,0.08750555348152302,0.35240406982633804,0.8789111111111111,0.4522483457803726,0.8444,0.8456825348153977
25,0.08644843137107061,0.3436094570795695,0.8814222222222222,0.39602381229400635,0.8626,0.8638240966621547
26,0.0853553390593274,0.3362320101208157,0.8868666666666667,0.5142312891960144,0.835,0.8340804944271729
27,0.08422735529643446,0.3259015351984236,0.8880888888888889,0.4412616301298142,0.8508,0.849786480494547
28,0.08306559326618262,0.3237703847461277,0.8900444444444444,0.40064987053871154,0.8704,0.8701701277855932
29,0.08187119948743452,0.3170584185282389,0.8932444444444444,0.5928150147438049,0.8032,0.8064049570506466
30,0.08064535268264886,0.3155108934402466,0.8904444444444445,0.7180743306159973,0.7902,0.7974797197357549
31,0.0793892626146237,0.3107289379967584,0.8930222222222223,0.4682656840324402,0.8514,0.8513291533021905
32,0.07810416889260657,0.30630551920466953,0.8954666666666666,0.4772024919271469,0.8484,0.8427999928330252
33,0.07679133974894986,0.29584509872860376,0.9003555555555556,0.4858899586200714,0.8426,0.8372842315953793
34,0.0754520707875186,0.2930489372730255,0.8992222222222223,0.40253990788459776,0.8708,0.8718382240339553
